case_id,title,description,difficulty
DEEP-01,Foto Pasaporte - Reflektim Sysh,Foto biometrike ku reflektimet ne te dy syte jane identike (drite dritareje ne te njejtin pozicion),E lehte
DEEP-02,Foto Pasaporte - Normale,"Foto standarde biometrike me ndricim te njëtrajtshëm, reflektime te ndryshme ne sy, teksture normale lekure",E lehte
DEEP-03,Foto Pasaporte - Lekure Artificiale,"Fytyra duket shume e llemuar, pa pore te dukshme, pa teksture natyrore lekure",E mesme
DEEP-04,Foto ID - Halo Efekt,Foto e kartes se identitetit ku rreth fytyrës shihet nje brez i lehte me ndryshem nga sfondi,E lehte
DEEP-05,Foto Pasaporte - Veshe te Cuditshme,"Veshi i majte ka forme te ndryshme nga i djathti, njeri me i madh dhe me detaje me pak",E mesme
DEEP-06,Foto ID - EXIF Mungon,"Foto dixhitale pa asnje te dhene EXIF, madhesia 800x1000 pixel",E lehte
DEEP-07,Foto Pasaporte - Hijet Jokonsistente,"Hija ne anen e majte te fytyres, por sfondi tregon drite nga e majta",E mesme
DEEP-08,Foto ID - Floket e Çuditshme,"Floket duken si te pikseluara, me skaje jo te qarta qe shkrihen ne sfond",E lehte
DEEP-09,Foto Pasaporte - Dhembet,"Foto me goje pak te hapur ku shihen dhembe me forme te cuditshme, disa te bashkuar",E mesme
DEEP-10,Foto ID - Software Photoshop,"EXIF tregon: Software='Adobe Photoshop CC 2024', disa shtresa te bashkuara",E lehte
DEEP-11,Foto Pasaporte - E Plote,"Foto me cilesi te larte, EXIF nga iPhone 15, reflektime natyrore, teksture normale",E lehte
DEEP-12,Foto ID - Zhurme Jokonsistente,"Fytyra ka pak zhurme dixhitale, ndersa sfondi ka shume zhurme",E veshtire
DEEP-13,Foto Pasaporte - Simetri e Tepruar,Fytyra eshte pothuajse perfekt simetrike - te dy anet identike,E mesme
DEEP-14,Foto ID - Skaje te Ashpra,"Kufiri mes flokeve dhe sfondit ka pixele te parregullta, si prerje me gershere",E mesme
DEEP-15,Foto Pasaporte - Data e Cuditshme,"EXIF tregon date krijimi 2019, por dokumenti pretendon foto te 2024",E lehte
